Date : 2023-05-07 12:00:01
Directory : /Users/samharvey/AndroidStudioProjects/digby
Total : 62 files,  3300 codes, 317 comments, 368 blanks, all 3985 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| JSON            |          8 |      1,053 |         10 |          5 |      1,068 |
| Dart            |         13 |        933 |         51 |         89 |      1,073 |
| C++             |         16 |        536 |        118 |        181 |        835 |
| XML             |         10 |        490 |         34 |         11 |        535 |
| Gradle          |          3 |        102 |          3 |         26 |        131 |
| CSS             |          1 |         48 |          0 |          9 |         57 |
| HTML            |          1 |         42 |         16 |          7 |         65 |
| Swift           |          4 |         40 |          3 |         12 |         55 |
| YAML            |          2 |         33 |         81 |         18 |        132 |
| Markdown        |          1 |         10 |          0 |          7 |         17 |
| Java Properties |          2 |          8 |          1 |          2 |         11 |
| JavaScript      |          1 |          5 |          0 |          1 |          6 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |         62 |      3,300 |        317 |        368 |      3,985 |
| . (Files)                                                                                                       |          6 |      1,015 |         91 |         27 |      1,133 |
| android                                                                                                         |         12 |        189 |         36 |         36 |        261 |
| android (Files)                                                                                                 |          3 |         38 |          0 |         10 |         48 |
| android/app                                                                                                     |          8 |        146 |         35 |         25 |        206 |
| android/app (Files)                                                                                             |          1 |         67 |          3 |         17 |         87 |
| android/app/src                                                                                                 |          7 |         79 |         32 |          8 |        119 |
| android/app/src/debug                                                                                           |          1 |          5 |          4 |          1 |         10 |
| android/app/src/main                                                                                            |          5 |         69 |         24 |          6 |         99 |
| android/app/src/main (Files)                                                                                    |          1 |         29 |          6 |          2 |         37 |
| android/app/src/main/res                                                                                        |          4 |         40 |         18 |          4 |         62 |
